GeoAreaName;[Location];2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;Differenz;Kommentar
"""Asia""";"""ALLAREA""";-3.87743;-3.60045;-2.93523;-2.23861;-1.50219;-1.2951;-1.10566;-0.91336;-0.72658;-0.41385;-0.10334;0.19461;0.49299;0.78768;1.07934;1.3658;1.64986;1.95294;3.56017;
"""Central America""";"""ALLAREA""";-18.8535;-19.02354;-19.86186;-20.34513;-20.38258;-20.41813;-20.47156;-20.52213;-20.57785;-20.97461;-21.36489;-21.74603;-22.11093;-22.46737;-22.81937;-23.16754;-23.50188;-23.84149;14.37853;
"""Central Asia""";"""ALLAREA""";-6.70355;-6.86464;-7.23773;-7.24141;-6.78437;-6.07482;-5.36993;-4.64784;-3.91682;-3.39156;-2.83989;-2.33094;-1.85681;-1.36516;-0.89225;-0.43035;0.04191;0.33223;2.35476;
"""Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)""";"""ALLAREA""";30.39848;30.02729;28.99955;28.33441;28.27057;29.80575;29.67191;29.54757;29.41619;28.9416;28.47933;28.02302;27.57827;27.12896;26.59059;26.05143;25.53111;25.04449;14.74453;
"""Eastern Africa""";"""ALLAREA""";-51.49337;#WERT!;-51.49337;-51.98764;-51.9405;-51.83849;-51.64249;-51.43659;-51.11151;-51.08351;-51.00206;-51.2067;-51.04341;-50.82968;-50.56759;-50.2577;-49.8867;-49.53752;7.43469;
"""Eastern Europe""";"""ALLAREA""";14.31558;13.9289;12.93132;12.2975;12.64736;15.4672;15.73877;16.01228;16.27779;16.19901;16.16183;16.13104;16.1131;16.06161;15.61284;15.15746;14.71951;14.30874;9.39738;
"""Europe""";"""ALLAREA""";28.39103;28.03542;27.03639;26.39775;26.40646;26.74332;26.70614;26.67775;26.63993;26.25702;25.88963;25.52596;25.17031;24.80259;24.27977;23.75169;23.24271;22.77062;15.01095;
"""Landlocked developing countries (LLDCs)""";"""ALLAREA""";-35.50526;-35.67165;-36.33303;-36.6362;-36.49203;-36.28277;-36.06665;-35.81527;-35.53235;-35.56224;-35.55857;-36.05833;-36.03805;-35.98884;-35.91812;-35.8511;-35.78542;-35.78537;9.67065;
"""Latin America and the Caribbean""";"""ALLAREA""";-5.02566;-5.16132;-6.04871;-6.58533;-6.68251;-6.78314;-6.90858;-7.03639;-7.17791;6.99467;6.54953;6.12301;5.71122;5.3014;4.89339;4.48725;4.08803;3.6713;0.69358;
"""Least Developed Countries (LDCs)""";"""ALLAREA""";-36.19095;-36.35006;-37.15428;-37.562;-37.50817;-37.25488;-36.97267;-36.67844;-36.34935;-36.34499;-36.31813;-36.45997;-36.38879;-36.29332;-36.179;-36.04767;-35.94884;-35.89506;9.09465;
"""Northern America""";"""ALLAREA""";34.68548;#WERT!;#WERT!;#WERT!;#WERT!;34.68548;34.37054;34.06477;33.75789;33.11401;32.47925;31.85606;31.25169;30.65822;30.06895;29.48608;28.9225;28.38854;15.68748;
"""Northern Europe""";"""ALLAREA""";36.36206;35.98143;34.91989;34.21936;34.03725;33.86559;33.68328;33.50781;33.32375;32.79445;32.27646;31.76732;31.27484;30.78069;30.26889;29.76048;29.20093;28.67554;17.07706;2002'
"""South America""";"""ALLAREA""";14.35268;14.21398;13.37546;12.88474;12.84099;12.80223;12.74746;12.68731;12.61269;12.19275;11.77796;11.37215;10.9808;10.589;10.20031;9.81268;9.42536;9.04276;14.70046;2002'
"""Southern Asia""";"""ALLAREA""";-20.94756;-20.30513;-20.31393;-19.96151;-19.15174;-18.3536;-17.55662;-16.74753;-15.93639;-15.45947;-14.97174;-14.47164;-13.95214;-13.42262;-12.88456;-12.34378;-11.78859;-11.24772;-0.3093;
"""Southern Europe""";"""ALLAREA""";24.75042;24.75885;24.08596;23.76251;23.97183;24.19135;24.39555;24.61578;24.83405;24.71216;24.59521;24.48541;24.38648;24.29012;24.19504;24.05047;23.92478;23.38779;10.75317;
"""Sub-Saharan Africa (inc. Sudan)""";"""ALLAREA""";-43.08389;-43.26352;-44.03834;-44.45313;-44.36542;-44.21385;-44.03141;-43.83781;-43.59563;-43.66939;-43.70918;-43.87787;-43.85354;-43.79807;-43.71706;-43.61544;-43.48576;-43.27746;9.58411;
"""Western Africa""";"""ALLAREA""";-43.94454;-44.05133;-44.83997;-45.27163;-45.22626;-45.15684;-45.09602;-45.0266;-44.95858;-45.22675;-45.48497;-45.73139;-45.95883;-46.17616;-46.38752;-46.59347;-46.78238;-46.93163;12.37763;
"""Western Asia""";"""ALLAREA""";5.27494;5.50523;3.53139;3.0283;3.32531;3.68893;4.13263;4.62985;5.12892;5.25636;5.33422;5.41888;5.4653;5.48359;5.49847;5.51013;5.29227;5.11011;9.55537;
"""Western Europe""";"""ALLAREA""";37.20656;36.76011;35.63117;34.86175;34.58116;34.30833;34.02268;33.74565;33.46752;32.85293;32.24841;31.65628;31.08377;30.52265;29.96813;29.4084;28.86805;28.35763;18.23947;
"""Asia""";"""RURAL""";1.11588;1.28316;1.83439;2.61361;3.60509;3.73268;3.84938;3.97329;4.09273;4.35272;4.62197;4.88726;5.17621;5.4739;5.77959;6.09212;6.40544;6.76231;5.64643;
"""Central America""";"""RURAL""";-3.91367;-4.09505;-5.26408;-6.00754;-5.89266;-5.77981;-5.68847;-5.59556;-5.5075;-6.12052;-6.7435;-7.41664;-8.08504;-8.75437;-9.42618;-10.10012;-10.76563;-11.44894;-7.53527;2009'
